DATE,POPTOTKPA647NWDB
1960-01-01,11655666
1961-01-01,11916515
1962-01-01,12180505
1963-01-01,12475236
1964-01-01,12787523
1965-01-01,13105946
1966-01-01,13444048
1967-01-01,13821409
1968-01-01,14216305
1969-01-01,14605481
1970-01-01,14996879
1971-01-01,15381626
1972-01-01,15768363
1973-01-01,16128122
1974-01-01,16437002
1975-01-01,16723252
1976-01-01,16987170
1977-01-01,17231389
1978-01-01,17472094
1979-01-01,17719172
1980-01-01,17973650
1981-01-01,18235202
1982-01-01,18502087
1983-01-01,18771363
1984-01-01,19045154
1985-01-01,19325487
1986-01-01,19613038
1987-01-01,19903893
1988-01-01,20197464
1989-01-01,20494965
1990-01-01,20799523
1991-01-01,21115534
1992-01-01,21439991
1993-01-01,21773017
1994-01-01,22105225
1995-01-01,22385536
1996-01-01,22614347
1997-01-01,22827373
1998-01-01,23023636
1999-01-01,23204498
2000-01-01,23367059
2001-01-01,23512522
2002-01-01,23638411
2003-01-01,23781707
2004-01-01,23948930
2005-01-01,24100982
2006-01-01,24235761
2007-01-01,24356506
2008-01-01,24469047
2009-01-01,24581509
2010-01-01,24686435
2011-01-01,24783789
2012-01-01,24887770
2013-01-01,25001819
2014-01-01,25126131
2015-01-01,25258015
2016-01-01,25389611
2017-01-01,25516321
2018-01-01,25638149
2019-01-01,25755441
2020-01-01,25867467
2021-01-01,25971909
2022-01-01,26069416
