DATE,SPDYNIMRTINPRK
1985-01-01,27.7
1986-01-01,27.4
1987-01-01,27.8
1988-01-01,28.9
1989-01-01,30.7
1990-01-01,33.4
1991-01-01,36.9
1992-01-01,41.1
1993-01-01,45.5
1994-01-01,49.8
1995-01-01,53.2
1996-01-01,55.1
1997-01-01,55
1998-01-01,53.1
1999-01-01,49.4
2000-01-01,44.5
2001-01-01,39.1
2002-01-01,34.2
2003-01-01,30.4
2004-01-01,27.8
2005-01-01,26.4
2006-01-01,26
2007-01-01,25.7
2008-01-01,25.2
2009-01-01,24.4
2010-01-01,23.1
2011-01-01,21.5
2012-01-01,19.8
2013-01-01,18.3
2014-01-01,17
2015-01-01,16
2016-01-01,15.1
2017-01-01,14.4
2018-01-01,13.7
2019-01-01,13.1
2020-01-01,11.6
2021-01-01,10.1
