DATE,SPDYNTFRTINCHN
1960-01-01,4.451
1961-01-01,3.863
1962-01-01,6.085
1963-01-01,7.513
1964-01-01,6.672
1965-01-01,6.605
1966-01-01,6.307
1967-01-01,5.806
1968-01-01,6.508
1969-01-01,6.175
1970-01-01,6.085
1971-01-01,5.523
1972-01-01,5.112
1973-01-01,4.726
1974-01-01,4.17
1975-01-01,3.571
1976-01-01,3.235
1977-01-01,2.844
1978-01-01,2.716
1979-01-01,2.745
1980-01-01,2.739
1981-01-01,2.792
1982-01-01,2.972
1983-01-01,2.559
1984-01-01,2.607
1985-01-01,2.633
1986-01-01,2.721
1987-01-01,2.76
1988-01-01,2.539
1989-01-01,2.52
1990-01-01,2.514
1991-01-01,1.934
1992-01-01,1.776
1993-01-01,1.691
1994-01-01,1.628
1995-01-01,1.588
1996-01-01,1.554
1997-01-01,1.527
1998-01-01,1.522
1999-01-01,1.53
2000-01-01,1.628
2001-01-01,1.563
2002-01-01,1.566
2003-01-01,1.57
2004-01-01,1.605
2005-01-01,1.624
2006-01-01,1.644
2007-01-01,1.666
2008-01-01,1.701
2009-01-01,1.714
2010-01-01,1.687
2011-01-01,1.668
2012-01-01,1.798
2013-01-01,1.714
2014-01-01,1.769
2015-01-01,1.67
2016-01-01,1.772
2017-01-01,1.813
2018-01-01,1.554
2019-01-01,1.496
2020-01-01,1.281
2021-01-01,1.164
