DATE,SPDYNTFRTINPRK
1960-01-01,3.568
1961-01-01,3.261
1962-01-01,3.412
1963-01-01,3.626
1964-01-01,3.547
1965-01-01,3.556
1966-01-01,3.709
1967-01-01,4.05
1968-01-01,3.872
1969-01-01,3.86
1970-01-01,3.848
1971-01-01,3.739
1972-01-01,3.889
1973-01-01,3.353
1974-01-01,3.142
1975-01-01,3.047
1976-01-01,2.836
1977-01-01,2.771
1978-01-01,2.793
1979-01-01,2.849
1980-01-01,2.841
1981-01-01,2.84
1982-01-01,2.763
1983-01-01,2.687
1984-01-01,2.629
1985-01-01,2.582
1986-01-01,2.539
1987-01-01,2.456
1988-01-01,2.414
1989-01-01,2.35
1990-01-01,2.35
1991-01-01,2.34
1992-01-01,2.292
1993-01-01,2.248
1994-01-01,2.203
1995-01-01,2.164
1996-01-01,2.107
1997-01-01,2.031
1998-01-01,2.008
1999-01-01,1.99
2000-01-01,1.969
2001-01-01,1.981
2002-01-01,1.943
2003-01-01,1.914
2004-01-01,1.962
2005-01-01,1.955
2006-01-01,1.958
2007-01-01,1.956
2008-01-01,1.977
2009-01-01,1.951
2010-01-01,1.809
2011-01-01,1.811
2012-01-01,1.836
2013-01-01,1.86
2014-01-01,1.885
2015-01-01,1.884
2016-01-01,1.87
2017-01-01,1.857
2018-01-01,1.845
2019-01-01,1.84
2020-01-01,1.818
2021-01-01,1.809
