ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,19733,Deaths of adult women,1699,0,NG,Nigeria,2008,NG2008DHS,MM_AMRT_W_DTH,76933010,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWDTH,,2008,DHS,,,,,
NGA,647898,Years of exposure to the risk of mortality for women,377463,0,NG,Nigeria,2008,NG2008DHS,MM_AMRT_W_EXP,76933020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXP,,2008,DHS,,373219,,,
NGA,19741,Years of exposure to the risk of mortality for women (unweighted),373219,0,NG,Nigeria,2008,NG2008DHS,MM_AMRT_W_EXU,76933030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXU,,2008,DHS,377463,,,,
NGA,647897,Adult female mortality rate,4.66,2,NG,Nigeria,2008,NG2008DHS,MM_AMRT_W_AMR,76933040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWAMR,,2008,DHS,377463,373219,,,
NGA,19722,Deaths of adult men,1700,0,NG,Nigeria,2008,NG2008DHS,MM_AMRT_M_DTH,76934050,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMDTH,,2008,DHS,,,,,
NGA,399810,Years of exposure to the risk of mortality for men,398130,0,NG,Nigeria,2008,NG2008DHS,MM_AMRT_M_EXP,76934060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXP,,2008,DHS,,396899,,,
NGA,19740,Years of exposure to the risk of mortality for men (unweighted),396899,0,NG,Nigeria,2008,NG2008DHS,MM_AMRT_M_EXU,76934070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXU,,2008,DHS,398130,,,,
NGA,399811,Adult male mortality rate,4.6,2,NG,Nigeria,2008,NG2008DHS,MM_AMRT_M_AMR,76934080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMAMR,,2008,DHS,398130,396899,,,
NGA,19728,Probability of dying between exact age 15 and 50 (35q15) for women,161,0,NG,Nigeria,2008,NG2008DHS,MM_AMPB_W_AMP,76963010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBWAMP,,2008,DHS,,,,,
NGA,19731,Probability of dying between exact age 15 and 50 (35q15) for men,168,0,NG,Nigeria,2008,NG2008DHS,MM_AMPB_M_AMP,76964020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBMAMP,,2008,DHS,,,,,
NGA,19748,Deaths of adult women,1514,0,NG,Nigeria,2013,NG2013DHS,MM_AMRT_W_DTH,76933010,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWDTH,,2013,DHS,,,,,
NGA,2689,Years of exposure to the risk of mortality for women,443102,0,NG,Nigeria,2013,NG2013DHS,MM_AMRT_W_EXP,76933020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXP,,2013,DHS,,447519,,,
NGA,277842,Years of exposure to the risk of mortality for women (unweighted),447519,0,NG,Nigeria,2013,NG2013DHS,MM_AMRT_W_EXU,76933030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXU,,2013,DHS,443102,,,,
NGA,489450,Adult female mortality rate,3.53,2,NG,Nigeria,2013,NG2013DHS,MM_AMRT_W_AMR,76933040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWAMR,,2013,DHS,443102,447519,,,
NGA,19749,Deaths of adult men,1452,0,NG,Nigeria,2013,NG2013DHS,MM_AMRT_M_DTH,76934050,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMDTH,,2013,DHS,,,,,
NGA,412186,Years of exposure to the risk of mortality for men,466639,0,NG,Nigeria,2013,NG2013DHS,MM_AMRT_M_EXP,76934060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXP,,2013,DHS,,471837,,,
NGA,19768,Years of exposure to the risk of mortality for men (unweighted),471837,0,NG,Nigeria,2013,NG2013DHS,MM_AMRT_M_EXU,76934070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXU,,2013,DHS,466639,,,,
NGA,412187,Adult male mortality rate,3.32,2,NG,Nigeria,2013,NG2013DHS,MM_AMRT_M_AMR,76934080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMAMR,,2013,DHS,466639,471837,,,
NGA,19746,Probability of dying between exact age 15 and 50 (35q15) for women,124,0,NG,Nigeria,2013,NG2013DHS,MM_AMPB_W_AMP,76963010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBWAMP,,2013,DHS,,,,,
NGA,19745,Probability of dying between exact age 15 and 50 (35q15) for men,123,0,NG,Nigeria,2013,NG2013DHS,MM_AMPB_M_AMP,76964020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBMAMP,,2013,DHS,,,,,
NGA,25852,Deaths of adult women,1442,0,NG,Nigeria,2018,NG2018DHS,MM_AMRT_W_DTH,76933010,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWDTH,,2018,DHS,,,,,
NGA,427522,Years of exposure to the risk of mortality for women,480382,0,NG,Nigeria,2018,NG2018DHS,MM_AMRT_W_EXP,76933020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXP,,2018,DHS,,484368,,,
NGA,25833,Years of exposure to the risk of mortality for women (unweighted),484368,0,NG,Nigeria,2018,NG2018DHS,MM_AMRT_W_EXU,76933030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWEXU,,2018,DHS,480382,,,,
NGA,427521,Adult female mortality rate,3.18,2,NG,Nigeria,2018,NG2018DHS,MM_AMRT_W_AMR,76933040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTWAMR,,2018,DHS,480382,484368,,,
NGA,25832,Deaths of adult men,1542,0,NG,Nigeria,2018,NG2018DHS,MM_AMRT_M_DTH,76934050,N,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMDTH,,2018,DHS,,,,,
NGA,540420,Years of exposure to the risk of mortality for men,509841,0,NG,Nigeria,2018,NG2018DHS,MM_AMRT_M_EXP,76934060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXP,,2018,DHS,,513029,,,
NGA,25851,Years of exposure to the risk of mortality for men (unweighted),513029,0,NG,Nigeria,2018,NG2018DHS,MM_AMRT_M_EXU,76934070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMEXU,,2018,DHS,509841,,,,
NGA,540421,Adult male mortality rate,3.25,2,NG,Nigeria,2018,NG2018DHS,MM_AMRT_M_AMR,76934080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMRTMAMR,,2018,DHS,509841,513029,,,
NGA,25831,Probability of dying between exact age 15 and 50 (35q15) for women,117,0,NG,Nigeria,2018,NG2018DHS,MM_AMPB_W_AMP,76963010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBWAMP,,2018,DHS,,,,,
NGA,25830,Probability of dying between exact age 15 and 50 (35q15) for men,122,0,NG,Nigeria,2018,NG2018DHS,MM_AMPB_M_AMP,76964020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,MMAMPBMAMP,,2018,DHS,,,,,
