ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
NGA,749212,Neonatal mortality rate (5 year periods),42,0,NG,Nigeria,1990,NG1990DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,1990,DHS,,,36,48,
NGA,572574,Postneonatal mortality (5 year periods),45,0,NG,Nigeria,1990,NG1990DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,1990,DHS,,,38,52,
NGA,751318,Infant mortality rate (5 year periods),87,0,NG,Nigeria,1990,NG1990DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,1990,DHS,,,78,97,
NGA,721201,Child mortality (5 year periods),115,0,NG,Nigeria,1990,NG1990DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,1990,DHS,,,95,135,
NGA,738172,Under-five mortality rate (5 year periods),193,0,NG,Nigeria,1990,NG1990DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,1990,DHS,,,171,214,
NGA,738236,Neonatal mortality rate,42,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,1990,DHS,,,36,48,
NGA,738497,Neonatal mortality rate,46,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,1990,DHS,,,40,51,
NGA,752796,Postneonatal mortality rate,45,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,1990,DHS,,,38,52,
NGA,193575,Postneonatal mortality rate,46,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,1990,DHS,,,41,51,
NGA,752444,Infant mortality rate,87,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,1990,DHS,,,78,97,
NGA,193593,Infant mortality rate,92,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,1990,DHS,,,84,100,
NGA,738496,Child mortality rate,115,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,1990,DHS,,,95,135,
NGA,733747,Child mortality rate,110,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,1990,DHS,,,93,126,
NGA,719781,Under-five mortality rate,193,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,1990,DHS,,,171,214,
NGA,748296,Under-five mortality rate,191,0,NG,Nigeria,1990,NG1990DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,1990,DHS,,,173,210,
NGA,747889,Neonatal mortality rate (5 year periods),48,0,NG,Nigeria,2003,NG2003DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,2003,DHS,,,41,55,
NGA,185141,Postneonatal mortality (5 year periods),52,0,NG,Nigeria,2003,NG2003DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,2003,DHS,,,43,60,
NGA,719004,Infant mortality rate (5 year periods),100,0,NG,Nigeria,2003,NG2003DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,2003,DHS,,,88,112,
NGA,749213,Child mortality (5 year periods),112,0,NG,Nigeria,2003,NG2003DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,2003,DHS,,,98,126,
NGA,185177,Under-five mortality rate (5 year periods),201,0,NG,Nigeria,2003,NG2003DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,2003,DHS,,,183,219,
NGA,747890,Neonatal mortality rate,48,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2003,DHS,,,41,55,
NGA,749215,Neonatal mortality rate,53,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCNNR,,2003,DHS,,,47,60,
NGA,185144,Postneonatal mortality rate,52,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCPNR,,2003,DHS,,,43,60,
NGA,733377,Postneonatal mortality rate,56,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_PNR,63206020,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCPNR,,2003,DHS,,,49,62,
NGA,185176,Infant mortality rate,100,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCIMR,,2003,DHS,,,88,112,
NGA,727200,Infant mortality rate,109,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_IMR,63206030,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCIMR,,2003,DHS,,,100,119,
NGA,749214,Child mortality rate,112,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCCMR,,2003,DHS,,,98,126,
NGA,721151,Child mortality rate,121,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_CMR,63206040,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCCMR,,2003,DHS,,,107,135,
NGA,741213,Under-five mortality rate,201,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCU5M,,2003,DHS,,,183,219,
NGA,744853,Under-five mortality rate,217,0,NG,Nigeria,2003,NG2003DHS,CM_ECMR_C_U5M,63206050,I,1000,0,Total,Total,14003,Ten years preceding the survey,1,0,CMECMRCU5M,,2003,DHS,,,201,233,
NGA,719008,Neonatal mortality rate (5 year periods),40,0,NG,Nigeria,2008,NG2008DHS,CM_ECMT_C_NNR,63166010,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCNNR,,2008,DHS,,,37,43,
NGA,185244,Postneonatal mortality (5 year periods),35,0,NG,Nigeria,2008,NG2008DHS,CM_ECMT_C_PNR,63166020,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCPNR,,2008,DHS,,,33,38,
NGA,185414,Infant mortality rate (5 year periods),75,0,NG,Nigeria,2008,NG2008DHS,CM_ECMT_C_IMR,63166030,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCIMR,,2008,DHS,,,71,79,
NGA,757046,Child mortality (5 year periods),88,0,NG,Nigeria,2008,NG2008DHS,CM_ECMT_C_CMR,63166040,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCCMR,,2008,DHS,,,82,94,
NGA,735487,Under-five mortality rate (5 year periods),157,0,NG,Nigeria,2008,NG2008DHS,CM_ECMT_C_U5M,63166050,I,13000,80000,Five year periods,0-4,0,,1,1,CMECMTCU5M,,2008,DHS,,,149,164,
NGA,751882,Neonatal mortality rate,40,0,NG,Nigeria,2008,NG2008DHS,CM_ECMR_C_NNR,63206010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CMECMRCNNR,,2008,DHS,,,37,43,
