ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,509840,Age specific fertility rate: 15-19,146,0,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,1990,DHS,,,,,
NGA,509845,Age specific fertility rate: 20-24,258,0,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,1990,DHS,,,,,
NGA,509846,Age specific fertility rate: 25-29,263,0,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,1990,DHS,,,,,
NGA,509847,Age specific fertility rate: 30-34,220,0,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,1990,DHS,,,,,
NGA,509848,Age specific fertility rate: 35-39,159,0,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,1990,DHS,,,,,
NGA,509841,Age specific fertility rate: 40-44,92,0,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,1990,DHS,,,,,
NGA,509843,Age specific fertility rate: 45-49,64,0,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,1990,DHS,,,,,
NGA,509842,Total fertility rate 15-49,6,1,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,1990,DHS,,,,,
NGA,509844,Total fertility rate 15-44,5.7,1,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,1990,DHS,,,,,
NGA,509837,General fertility rate,207,0,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,1990,DHS,,,,,
NGA,509838,Crude birth rate,38.1,1,NG,Nigeria,1990,NG1990DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,1990,DHS,,,,,
NGA,509612,Total wanted fertility rate,5.8,1,NG,Nigeria,1990,NG1990DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,1990,DHS,,,,,
NGA,213286,Age specific fertility rate: 15-19,126,0,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2003,DHS,,,,,
NGA,213289,Age specific fertility rate: 20-24,229,0,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2003,DHS,,,,,
NGA,213290,Age specific fertility rate: 25-29,274,0,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2003,DHS,,,,,
NGA,213291,Age specific fertility rate: 30-34,244,0,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2003,DHS,,,,,
NGA,213292,Age specific fertility rate: 35-39,168,0,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2003,DHS,,,,,
NGA,213287,Age specific fertility rate: 40-44,72,0,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2003,DHS,,,,,
NGA,213283,Age specific fertility rate: 45-49,18,0,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2003,DHS,,,,,
NGA,213288,Total fertility rate 15-49,5.7,1,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2003,DHS,,,,,
NGA,213284,Total fertility rate 15-44,5.6,1,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2003,DHS,,,,,
NGA,213293,General fertility rate,192,0,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2003,DHS,,,,,
NGA,213294,Crude birth rate,41.7,1,NG,Nigeria,2003,NG2003DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2003,DHS,,,,,
NGA,36840,Total wanted fertility rate,5.3,1,NG,Nigeria,2003,NG2003DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,2003,DHS,,,,,
NGA,214099,Age specific fertility rate: 15-19,121,0,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2008,DHS,,,,,
NGA,214105,Age specific fertility rate: 20-24,225,0,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2008,DHS,,,,,
NGA,214112,Age specific fertility rate: 25-29,265,0,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2008,DHS,,,,,
NGA,214113,Age specific fertility rate: 30-34,241,0,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2008,DHS,,,,,
NGA,214114,Age specific fertility rate: 35-39,161,0,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2008,DHS,,,,,
NGA,214100,Age specific fertility rate: 40-44,87,0,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2008,DHS,,,,,
NGA,214102,Age specific fertility rate: 45-49,44,0,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2008,DHS,,,,,
NGA,214101,Total fertility rate 15-49,5.7,1,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2008,DHS,,,,,
NGA,214103,Total fertility rate 15-44,5.5,1,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2008,DHS,,,,,
NGA,214104,General fertility rate,195,0,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2008,DHS,,,,,
NGA,214119,Crude birth rate,40.6,1,NG,Nigeria,2008,NG2008DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2008,DHS,,,,,
NGA,36401,Total wanted fertility rate,5.3,1,NG,Nigeria,2008,NG2008DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,2008,DHS,,,,,
NGA,214381,Age specific fertility rate: 15-19,134,0,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2010,MIS,,,,,
NGA,214392,Age specific fertility rate: 20-24,250,0,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2010,MIS,,,,,
NGA,214393,Age specific fertility rate: 25-29,270,0,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2010,MIS,,,,,
NGA,214535,Age specific fertility rate: 30-34,242,0,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2010,MIS,,,,,
NGA,214536,Age specific fertility rate: 35-39,183,0,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2010,MIS,,,,,
NGA,214550,Age specific fertility rate: 40-44,91,0,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2010,MIS,,,,,
NGA,214537,Age specific fertility rate: 45-49,52,0,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2010,MIS,,,,,
NGA,214551,Total fertility rate 15-49,6.1,1,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2010,MIS,,,,,
NGA,214538,Total fertility rate 15-44,5.9,1,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2010,MIS,,,,,
NGA,214552,General fertility rate,209,0,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2010,MIS,,,,,
NGA,214553,Crude birth rate,41.9,1,NG,Nigeria,2010,NG2010MIS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2010,MIS,,,,,
NGA,215074,Age specific fertility rate: 15-19,122,0,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2013,DHS,,,,,
NGA,215076,Age specific fertility rate: 20-24,235,0,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2013,DHS,,,,,
NGA,215077,Age specific fertility rate: 25-29,253,0,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2013,DHS,,,,,
NGA,215078,Age specific fertility rate: 30-34,234,0,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2013,DHS,,,,,
NGA,215110,Age specific fertility rate: 35-39,160,0,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2013,DHS,,,,,
NGA,215075,Age specific fertility rate: 40-44,78,0,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2013,DHS,,,,,
NGA,215108,Age specific fertility rate: 45-49,29,0,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2013,DHS,,,,,
NGA,215102,Total fertility rate 15-49,5.5,1,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2013,DHS,,,,,
NGA,215109,Total fertility rate 15-44,5.4,1,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2013,DHS,,,,,
NGA,215079,General fertility rate,190,0,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2013,DHS,,,,,
NGA,215103,Crude birth rate,39.4,1,NG,Nigeria,2013,NG2013DHS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2013,DHS,,,,,
NGA,36795,Total wanted fertility rate,5.2,1,NG,Nigeria,2013,NG2013DHS,PR_WTFR_W_WFR,22333010,I,1000,0,Total,Total,0,,1,1,PRWTFRWWFR,,2013,DHS,,,,,
NGA,215427,Age specific fertility rate: 15-19,145,0,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2015,MIS,,,,,
NGA,215431,Age specific fertility rate: 20-24,222,0,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2015,MIS,,,,,
NGA,215432,Age specific fertility rate: 25-29,223,0,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2015,MIS,,,,,
NGA,215433,Age specific fertility rate: 30-34,195,0,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_A30,11763040,I,1000,0,Total,Total,0,,1,1,FEFRTRWA30,,2015,MIS,,,,,
NGA,215434,Age specific fertility rate: 35-39,126,0,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_A35,11763050,I,1000,0,Total,Total,0,,1,1,FEFRTRWA35,,2015,MIS,,,,,
NGA,215428,Age specific fertility rate: 40-44,50,0,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_A40,11763060,I,1000,0,Total,Total,0,,1,1,FEFRTRWA40,,2015,MIS,,,,,
NGA,215424,Age specific fertility rate: 45-49,35,0,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_A45,11763070,I,1000,0,Total,Total,0,,1,1,FEFRTRWA45,,2015,MIS,,,,,
NGA,215429,Total fertility rate 15-49,5,1,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_TFR,11763080,I,1000,0,Total,Total,0,,1,1,FEFRTRWTFR,,2015,MIS,,,,,
NGA,215425,Total fertility rate 15-44,4.8,1,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_TF4,11763090,I,1000,0,Total,Total,0,,1,1,FEFRTRWTF4,,2015,MIS,,,,,
NGA,215439,General fertility rate,179,0,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_GFR,11763100,I,1000,0,Total,Total,0,,1,1,FEFRTRWGFR,,2015,MIS,,,,,
NGA,215440,Crude birth rate,35.6,1,NG,Nigeria,2015,NG2015MIS,FE_FRTR_W_CBR,11763110,I,1000,0,Total,Total,0,,1,1,FEFRTRWCBR,,2015,MIS,,,,,
NGA,215844,Age specific fertility rate: 15-19,106,0,NG,Nigeria,2018,NG2018DHS,FE_FRTR_W_A15,11763010,I,1000,0,Total,Total,0,,1,1,FEFRTRWA15,,2018,DHS,,,,,
NGA,215857,Age specific fertility rate: 20-24,239,0,NG,Nigeria,2018,NG2018DHS,FE_FRTR_W_A20,11763020,I,1000,0,Total,Total,0,,1,1,FEFRTRWA20,,2018,DHS,,,,,
NGA,215880,Age specific fertility rate: 25-29,256,0,NG,Nigeria,2018,NG2018DHS,FE_FRTR_W_A25,11763030,I,1000,0,Total,Total,0,,1,1,FEFRTRWA25,,2018,DHS,,,,,
