Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Hungary,HUN,2012,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,8
Hungary,HUN,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.38
Hungary,HUN,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.51
Hungary,HUN,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,5.8
Hungary,HUN,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,7.19
Hungary,HUN,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,6.99
Hungary,HUN,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.35
Hungary,HUN,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.6
Hungary,HUN,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.09
Hungary,HUN,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,14.56
Hungary,HUN,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,14.27
Hungary,HUN,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,18.1
Hungary,HUN,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,18.5
Hungary,HUN,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,19.26
Hungary,HUN,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,22.96
Hungary,HUN,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,22.53
Hungary,HUN,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.7
Hungary,HUN,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.5
Hungary,HUN,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.4
Hungary,HUN,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.5
Hungary,HUN,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.6
Hungary,HUN,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.6
Hungary,HUN,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.6
Hungary,HUN,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.6
Hungary,HUN,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.6
Hungary,HUN,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.5
Hungary,HUN,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.3
Hungary,HUN,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.2
Hungary,HUN,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.2
Hungary,HUN,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.1
Hungary,HUN,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,18.9
Hungary,HUN,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,18.9
Hungary,HUN,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,18.8
Hungary,HUN,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,18.8
Hungary,HUN,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19
Hungary,HUN,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,19.3
Hungary,HUN,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.1
Hungary,HUN,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,17.9
Hungary,HUN,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,17.9
Hungary,HUN,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.1
Hungary,HUN,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.3
Hungary,HUN,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.4
Hungary,HUN,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.4
Hungary,HUN,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.4
Hungary,HUN,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.4
Hungary,HUN,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.3
Hungary,HUN,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.3
Hungary,HUN,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.4
Hungary,HUN,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.6
Hungary,HUN,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.7
Hungary,HUN,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.7
Hungary,HUN,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,18.9
Hungary,HUN,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,19.1
Hungary,HUN,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,19.4
Hungary,HUN,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,19.9
Hungary,HUN,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,20.6
Hungary,HUN,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.6
Hungary,HUN,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.4
Hungary,HUN,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.4
Hungary,HUN,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.5
Hungary,HUN,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.5
Hungary,HUN,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.5
Hungary,HUN,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.6
Hungary,HUN,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.5
Hungary,HUN,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.5
Hungary,HUN,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.4
Hungary,HUN,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.2
Hungary,HUN,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.1
Hungary,HUN,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.1
Hungary,HUN,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,18.9
Hungary,HUN,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,18.8
Hungary,HUN,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,18.7
Hungary,HUN,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,18.7
Hungary,HUN,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,18.7
Hungary,HUN,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,18.9
Hungary,HUN,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,19.2
Hungary,HUN,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,1.97689691169873
Hungary,HUN,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.11270524829667
Hungary,HUN,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,1.50244652228847
Hungary,HUN,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,1.81765455519882
Hungary,HUN,2021,Number of infant deaths,SH.DTH.IMRT,305
Hungary,HUN,2020,Number of infant deaths,SH.DTH.IMRT,311
Hungary,HUN,2019,Number of infant deaths,SH.DTH.IMRT,317
Hungary,HUN,2018,Number of infant deaths,SH.DTH.IMRT,331
Hungary,HUN,2017,Number of infant deaths,SH.DTH.IMRT,351
Hungary,HUN,2016,Number of infant deaths,SH.DTH.IMRT,370
Hungary,HUN,2015,Number of infant deaths,SH.DTH.IMRT,392
Hungary,HUN,2014,Number of infant deaths,SH.DTH.IMRT,412
Hungary,HUN,2013,Number of infant deaths,SH.DTH.IMRT,423
Hungary,HUN,2012,Number of infant deaths,SH.DTH.IMRT,431
Hungary,HUN,2011,Number of infant deaths,SH.DTH.IMRT,441
Hungary,HUN,2010,Number of infant deaths,SH.DTH.IMRT,472
Hungary,HUN,2009,Number of infant deaths,SH.DTH.IMRT,510
Hungary,HUN,2008,Number of infant deaths,SH.DTH.IMRT,539
Hungary,HUN,2007,Number of infant deaths,SH.DTH.IMRT,571
Hungary,HUN,2006,Number of infant deaths,SH.DTH.IMRT,600
Hungary,HUN,2005,Number of infant deaths,SH.DTH.IMRT,617
Hungary,HUN,2004,Number of infant deaths,SH.DTH.IMRT,640
Hungary,HUN,2003,Number of infant deaths,SH.DTH.IMRT,683
Hungary,HUN,2002,Number of infant deaths,SH.DTH.IMRT,738
Hungary,HUN,2001,Number of infant deaths,SH.DTH.IMRT,791
Hungary,HUN,2000,Number of infant deaths,SH.DTH.IMRT,832
Hungary,HUN,1999,Number of infant deaths,SH.DTH.IMRT,877
Hungary,HUN,1998,Number of infant deaths,SH.DTH.IMRT,941
Hungary,HUN,1997,Number of infant deaths,SH.DTH.IMRT,1015
Hungary,HUN,1996,Number of infant deaths,SH.DTH.IMRT,1116
Hungary,HUN,1995,Number of infant deaths,SH.DTH.IMRT,1230
Hungary,HUN,1994,Number of infant deaths,SH.DTH.IMRT,1343
Hungary,HUN,1993,Number of infant deaths,SH.DTH.IMRT,1502
Hungary,HUN,1992,Number of infant deaths,SH.DTH.IMRT,1701
Hungary,HUN,1991,Number of infant deaths,SH.DTH.IMRT,1844
Hungary,HUN,1990,Number of infant deaths,SH.DTH.IMRT,1877
Hungary,HUN,1989,Number of infant deaths,SH.DTH.IMRT,1900
Hungary,HUN,1988,Number of infant deaths,SH.DTH.IMRT,2011
Hungary,HUN,1987,Number of infant deaths,SH.DTH.IMRT,2192
Hungary,HUN,1986,Number of infant deaths,SH.DTH.IMRT,2368
Hungary,HUN,1985,Number of infant deaths,SH.DTH.IMRT,2436
Hungary,HUN,1984,Number of infant deaths,SH.DTH.IMRT,2454
Hungary,HUN,1983,Number of infant deaths,SH.DTH.IMRT,2551
Hungary,HUN,1982,Number of infant deaths,SH.DTH.IMRT,2726
Hungary,HUN,1981,Number of infant deaths,SH.DTH.IMRT,2951
Hungary,HUN,1980,Number of infant deaths,SH.DTH.IMRT,3269
Hungary,HUN,1979,Number of infant deaths,SH.DTH.IMRT,3690
Hungary,HUN,1978,Number of infant deaths,SH.DTH.IMRT,4191
Hungary,HUN,1977,Number of infant deaths,SH.DTH.IMRT,4784
Hungary,HUN,1976,Number of infant deaths,SH.DTH.IMRT,5472
Hungary,HUN,1975,Number of infant deaths,SH.DTH.IMRT,6059
Hungary,HUN,1974,Number of infant deaths,SH.DTH.IMRT,5889
Hungary,HUN,1973,Number of infant deaths,SH.DTH.IMRT,5396
Hungary,HUN,1972,Number of infant deaths,SH.DTH.IMRT,5217
Hungary,HUN,1971,Number of infant deaths,SH.DTH.IMRT,5153
Hungary,HUN,1970,Number of infant deaths,SH.DTH.IMRT,5289
Hungary,HUN,1969,Number of infant deaths,SH.DTH.IMRT,5470
Hungary,HUN,1968,Number of infant deaths,SH.DTH.IMRT,5515
Hungary,HUN,1967,Number of infant deaths,SH.DTH.IMRT,5364
Hungary,HUN,1966,Number of infant deaths,SH.DTH.IMRT,5211
Hungary,HUN,1965,Number of infant deaths,SH.DTH.IMRT,5249
Hungary,HUN,1964,Number of infant deaths,SH.DTH.IMRT,5402
Hungary,HUN,1963,Number of infant deaths,SH.DTH.IMRT,5527
Hungary,HUN,1962,Number of infant deaths,SH.DTH.IMRT,5861
Hungary,HUN,1961,Number of infant deaths,SH.DTH.IMRT,6452
Hungary,HUN,1960,Number of infant deaths,SH.DTH.IMRT,7033
Hungary,HUN,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.13719063874997
Hungary,HUN,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.54410005508674
Hungary,HUN,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.51193618971543
Hungary,HUN,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.89637243972719
Hungary,HUN,2021,Number of under-five deaths,SH.DTH.MORT,369
Hungary,HUN,2020,Number of under-five deaths,SH.DTH.MORT,375
Hungary,HUN,2019,Number of under-five deaths,SH.DTH.MORT,382
Hungary,HUN,2018,Number of under-five deaths,SH.DTH.MORT,397
Hungary,HUN,2017,Number of under-five deaths,SH.DTH.MORT,419
Hungary,HUN,2016,Number of under-five deaths,SH.DTH.MORT,440
Hungary,HUN,2015,Number of under-five deaths,SH.DTH.MORT,466
Hungary,HUN,2014,Number of under-five deaths,SH.DTH.MORT,490
Hungary,HUN,2013,Number of under-five deaths,SH.DTH.MORT,506
Hungary,HUN,2012,Number of under-five deaths,SH.DTH.MORT,517
Hungary,HUN,2011,Number of under-five deaths,SH.DTH.MORT,530
Hungary,HUN,2010,Number of under-five deaths,SH.DTH.MORT,564
Hungary,HUN,2009,Number of under-five deaths,SH.DTH.MORT,605
Hungary,HUN,2008,Number of under-five deaths,SH.DTH.MORT,637
