Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Nigeria,NGA,2013,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),SG.VAW.1549.ZS,11
Nigeria,NGA,2018,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,19.6
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,21.3
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,27.6
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,43.5
Nigeria,NGA,2018,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,14.5
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,14.2
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,16.2
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,30.7
Nigeria,NGA,2018,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,21.4
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,25.3
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,32.2
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,52.8
Nigeria,NGA,2018,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,21.4
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,24.6
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,30.5
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,49.4
Nigeria,NGA,2018,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,28
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,34.7
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,43
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,64.2
Nigeria,NGA,2018,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,20.1
Nigeria,NGA,2013,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,18.8
Nigeria,NGA,2008,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,25.3
Nigeria,NGA,2003,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,37.5
Nigeria,NGA,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.37
Nigeria,NGA,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.33
Nigeria,NGA,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.59
Nigeria,NGA,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.93
Nigeria,NGA,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,4.87
Nigeria,NGA,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,10.84
Nigeria,NGA,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,10.81
Nigeria,NGA,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.72
Nigeria,NGA,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.51
Nigeria,NGA,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,12.5
Nigeria,NGA,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,17.24
Nigeria,NGA,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,17.2
Nigeria,NGA,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,18.79
Nigeria,NGA,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,20.03
Nigeria,NGA,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,20.11
Nigeria,NGA,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,55.1
Nigeria,NGA,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,55
Nigeria,NGA,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,54.9
Nigeria,NGA,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,54.9
Nigeria,NGA,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,54.9
Nigeria,NGA,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,54.9
Nigeria,NGA,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,54.9
Nigeria,NGA,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,54.9
Nigeria,NGA,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,55.1
Nigeria,NGA,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,55.3
Nigeria,NGA,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,55.6
Nigeria,NGA,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,55.9
Nigeria,NGA,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,56.3
Nigeria,NGA,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,56.7
Nigeria,NGA,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,57.1
Nigeria,NGA,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,57.5
Nigeria,NGA,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,57.9
Nigeria,NGA,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,58.2
Nigeria,NGA,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,58.5
Nigeria,NGA,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,58.8
Nigeria,NGA,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,68.9
Nigeria,NGA,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,69.7
Nigeria,NGA,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,70.4
Nigeria,NGA,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,70.9
