ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
NGA,362498,Sex before the age of 15 [Women],25.7,1,NG,Nigeria,1990,NG1990DHS,HA_AFSY_W_A15,135763010,I,1000,0,Total,Total,0,,1,1,HAAFSYWA15,,1990,DHS,3288,3360,,,
NGA,367394,Number of young women,3288,0,NG,Nigeria,1990,NG1990DHS,HA_AFSY_W_NM1,135763020,D,1000,0,Total,Total,0,,1,1,HAAFSYWNM1,,1990,DHS,,3360,,,
NGA,502326,Number of young women (unweighted),3360,0,NG,Nigeria,1990,NG1990DHS,HA_AFSY_W_UN1,135763030,U,1000,0,Total,Total,0,,1,1,HAAFSYWUN1,,1990,DHS,59,,,,
NGA,234542,Sex before the age of 18 [Women],58.7,1,NG,Nigeria,1990,NG1990DHS,HA_AFSY_W_A18,135763040,I,1000,0,Total,Total,0,,1,1,HAAFSYWA18,,1990,DHS,2268,2321,,,
NGA,367390,Number of young women age 18-24,2268,0,NG,Nigeria,1990,NG1990DHS,HA_AFSY_W_NM2,135763050,D,1000,0,Total,Total,0,,1,1,HAAFSYWNM2,,1990,DHS,,2321,,,
NGA,507167,Number of young women age 18-24 (unweighted),2321,0,NG,Nigeria,1990,NG1990DHS,HA_AFSY_W_UN2,135763060,U,1000,0,Total,Total,0,,1,1,HAAFSYWUN2,,1990,DHS,,,,,
NGA,93278,Young women never having sexual intercourse,63.5,1,NG,Nigeria,1990,NG1990DHS,HA_PSXY_W_NSX,135803010,I,1000,0,Total,Total,0,,1,1,HAPSXYWNSX,,1990,DHS,1354,1540,,,
NGA,93277,Young women having premarital sex in last year,33.1,1,NG,Nigeria,1990,NG1990DHS,HA_PSXY_W_SX1,135803020,I,1000,0,Total,Total,0,,1,1,HAPSXYWSX1,,1990,DHS,1354,1540,,,
NGA,367389,Number of never-married young women,1354,0,NG,Nigeria,1990,NG1990DHS,HA_PSXY_W_NUM,135803030,D,1000,0,Total,Total,0,,1,1,HAPSXYWNUM,,1990,DHS,,1540,,,
NGA,507132,Number of never-married young women (unweighted),1540,0,NG,Nigeria,1990,NG1990DHS,HA_PSXY_W_UNW,135803040,U,1000,0,Total,Total,0,,1,1,HAPSXYWUNW,,1990,DHS,1354,,,,
NGA,367386,Number of never-married young women who had sex in the past year,449,0,NG,Nigeria,1990,NG1990DHS,HA_PSXY_W_NM1,135803060,D,1000,0,Total,Total,0,,1,1,HAPSXYWNM1,,1990,DHS,,532,,,
NGA,509135,Number of never-married young women who had sex in the past year (unweighted),532,0,NG,Nigeria,1990,NG1990DHS,HA_PSXY_W_UN1,135803070,U,1000,0,Total,Total,0,,1,1,HAPSXYWUN1,,1990,DHS,449,,,,
NGA,670652,Number of young women,3288,0,NG,Nigeria,1990,NG1990DHS,HA_MSPY_W_NM1,135833020,D,1000,0,Total,Total,0,,1,1,HAMSPYWNM1,,1990,DHS,,3360,,,
NGA,502264,Number of young women (unweighted),3360,0,NG,Nigeria,1990,NG1990DHS,HA_MSPY_W_UN1,135833030,U,1000,0,Total,Total,0,,1,1,HAMSPYWUN1,,1990,DHS,3288,,,,
NGA,445085,Number of sexually active young women,1928,0,NG,Nigeria,1990,NG1990DHS,HA_MSPY_W_NM2,135833050,D,1000,0,Total,Total,0,,1,1,HAMSPYWNM2,,1990,DHS,,1930,,,
NGA,502621,Number of sexually active young women (unweighted),1930,0,NG,Nigeria,1990,NG1990DHS,HA_MSPY_W_UN2,135833060,U,1000,0,Total,Total,0,,1,1,HAMSPYWUN2,,1990,DHS,1928,,,,
NGA,144767,Higher risk sex in the last year [Women],13.9,1,NG,Nigeria,2003,NG2003DHS,HA_HRSX_W_HRS,135403010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWHRS,,2003,DHS,5855,5584,,,
NGA,316052,Number of women reporting sexual activity in the last 12 months,5855,0,NG,Nigeria,2003,NG2003DHS,HA_HRSX_W_NM1,135403020,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWNM1,,2003,DHS,,5584,,,
NGA,522760,Number of women reporting sexual activity in the last 12 months (unweighted),5584,0,NG,Nigeria,2003,NG2003DHS,HA_HRSX_W_UN1,135403030,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWUN1,,2003,DHS,5855,,,,
NGA,433273,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Women]",26.9,1,NG,Nigeria,2003,NG2003DHS,HA_HRSX_W_CND,135403040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWCND,,2003,DHS,813,780,,,
NGA,429618,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months",813,0,NG,Nigeria,2003,NG2003DHS,HA_HRSX_W_NM2,135403050,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWNM2,,2003,DHS,,780,,,
NGA,521693,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)",780,0,NG,Nigeria,2003,NG2003DHS,HA_HRSX_W_UN2,135403060,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXWUN2,,2003,DHS,813,,,,
NGA,649784,Higher risk sex in the last year [Men],38.7,1,NG,Nigeria,2003,NG2003DHS,HA_HRSX_M_HRS,135404070,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMHRS,,2003,DHS,1373,1361,,,
NGA,648920,Number of men reporting sexual activity in the last 12 months,1373,0,NG,Nigeria,2003,NG2003DHS,HA_HRSX_M_NM1,135404080,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMNM1,,2003,DHS,,1361,,,
NGA,521054,Number of men reporting sexual activity in the last 12 months (unweighted),1361,0,NG,Nigeria,2003,NG2003DHS,HA_HRSX_M_UN1,135404090,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMUN1,,2003,DHS,1373,,,,
NGA,664167,"Condom use at last higher risk sex (with a non-marital, non-cohabiting partner) [Men]",54.4,1,NG,Nigeria,2003,NG2003DHS,HA_HRSX_M_CND,135404100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMCND,,2003,DHS,531,580,,,
NGA,661812,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months",531,0,NG,Nigeria,2003,NG2003DHS,HA_HRSX_M_NM2,135404110,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAHRSXMNM2,,2003,DHS,,580,,,
