Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
China,CHN,2019,Income share held by second 20%,SI.DST.02ND.20,10.7
China,CHN,2018,Income share held by second 20%,SI.DST.02ND.20,10.7
China,CHN,2017,Income share held by second 20%,SI.DST.02ND.20,10.5
China,CHN,2016,Income share held by second 20%,SI.DST.02ND.20,10.7
China,CHN,2015,Income share held by second 20%,SI.DST.02ND.20,10.6
China,CHN,2014,Income share held by second 20%,SI.DST.02ND.20,10.5
China,CHN,2013,Income share held by second 20%,SI.DST.02ND.20,10.3
China,CHN,2012,Income share held by second 20%,SI.DST.02ND.20,9.7
China,CHN,2011,Income share held by second 20%,SI.DST.02ND.20,9.6
China,CHN,2010,Income share held by second 20%,SI.DST.02ND.20,9.2
China,CHN,2008,Income share held by second 20%,SI.DST.02ND.20,9.4
China,CHN,2005,Income share held by second 20%,SI.DST.02ND.20,10
China,CHN,2002,Income share held by second 20%,SI.DST.02ND.20,9.6
China,CHN,1999,Income share held by second 20%,SI.DST.02ND.20,10.5
China,CHN,1996,Income share held by second 20%,SI.DST.02ND.20,11.5
China,CHN,1993,Income share held by second 20%,SI.DST.02ND.20,12
China,CHN,1990,Income share held by second 20%,SI.DST.02ND.20,12.4
China,CHN,2019,Income share held by third 20%,SI.DST.03RD.20,15.2
China,CHN,2018,Income share held by third 20%,SI.DST.03RD.20,15.3
China,CHN,2017,Income share held by third 20%,SI.DST.03RD.20,15.1
China,CHN,2016,Income share held by third 20%,SI.DST.03RD.20,15.3
China,CHN,2015,Income share held by third 20%,SI.DST.03RD.20,15.3
China,CHN,2014,Income share held by third 20%,SI.DST.03RD.20,15.2
China,CHN,2013,Income share held by third 20%,SI.DST.03RD.20,15
China,CHN,2012,Income share held by third 20%,SI.DST.03RD.20,14.7
China,CHN,2011,Income share held by third 20%,SI.DST.03RD.20,14.6
China,CHN,2010,Income share held by third 20%,SI.DST.03RD.20,14.3
China,CHN,2008,Income share held by third 20%,SI.DST.03RD.20,14.5
China,CHN,2005,Income share held by third 20%,SI.DST.03RD.20,14.7
China,CHN,2002,Income share held by third 20%,SI.DST.03RD.20,14.4
China,CHN,1999,Income share held by third 20%,SI.DST.03RD.20,15.1
China,CHN,1996,Income share held by third 20%,SI.DST.03RD.20,15.9
China,CHN,1993,Income share held by third 20%,SI.DST.03RD.20,15.9
China,CHN,1990,Income share held by third 20%,SI.DST.03RD.20,16.4
China,CHN,2019,Income share held by fourth 20%,SI.DST.04TH.20,22
China,CHN,2018,Income share held by fourth 20%,SI.DST.04TH.20,22.2
China,CHN,2017,Income share held by fourth 20%,SI.DST.04TH.20,22.1
China,CHN,2016,Income share held by fourth 20%,SI.DST.04TH.20,22.2
China,CHN,2015,Income share held by fourth 20%,SI.DST.04TH.20,22.3
China,CHN,2014,Income share held by fourth 20%,SI.DST.04TH.20,22.3
China,CHN,2013,Income share held by fourth 20%,SI.DST.04TH.20,22.1
China,CHN,2012,Income share held by fourth 20%,SI.DST.04TH.20,22.4
China,CHN,2011,Income share held by fourth 20%,SI.DST.04TH.20,22.3
China,CHN,2010,Income share held by fourth 20%,SI.DST.04TH.20,22.3
China,CHN,2008,Income share held by fourth 20%,SI.DST.04TH.20,22.5
China,CHN,2005,Income share held by fourth 20%,SI.DST.04TH.20,22.3
China,CHN,2002,Income share held by fourth 20%,SI.DST.04TH.20,22.4
China,CHN,1999,Income share held by fourth 20%,SI.DST.04TH.20,22.3
China,CHN,1996,Income share held by fourth 20%,SI.DST.04TH.20,22.4
China,CHN,1993,Income share held by fourth 20%,SI.DST.04TH.20,22.1
China,CHN,1990,Income share held by fourth 20%,SI.DST.04TH.20,22.1
China,CHN,2019,Income share held by highest 20%,SI.DST.05TH.20,45.3
China,CHN,2018,Income share held by highest 20%,SI.DST.05TH.20,45.4
China,CHN,2017,Income share held by highest 20%,SI.DST.05TH.20,45.9
China,CHN,2016,Income share held by highest 20%,SI.DST.05TH.20,45.3
China,CHN,2015,Income share held by highest 20%,SI.DST.05TH.20,45.4
China,CHN,2014,Income share held by highest 20%,SI.DST.05TH.20,45.8
China,CHN,2013,Income share held by highest 20%,SI.DST.05TH.20,46.3
China,CHN,2012,Income share held by highest 20%,SI.DST.05TH.20,47.8
China,CHN,2011,Income share held by highest 20%,SI.DST.05TH.20,48.1
China,CHN,2010,Income share held by highest 20%,SI.DST.05TH.20,49
China,CHN,2008,Income share held by highest 20%,SI.DST.05TH.20,48.4
China,CHN,2005,Income share held by highest 20%,SI.DST.05TH.20,47.1
China,CHN,2002,Income share held by highest 20%,SI.DST.05TH.20,47.9
China,CHN,1999,Income share held by highest 20%,SI.DST.05TH.20,45.6
China,CHN,1996,Income share held by highest 20%,SI.DST.05TH.20,42.9
China,CHN,1993,Income share held by highest 20%,SI.DST.05TH.20,42.2
China,CHN,1990,Income share held by highest 20%,SI.DST.05TH.20,40.8
China,CHN,2019,Income share held by highest 10%,SI.DST.10TH.10,29.5
China,CHN,2018,Income share held by highest 10%,SI.DST.10TH.10,29.4
China,CHN,2017,Income share held by highest 10%,SI.DST.10TH.10,29.9
China,CHN,2016,Income share held by highest 10%,SI.DST.10TH.10,29.4
China,CHN,2015,Income share held by highest 10%,SI.DST.10TH.10,29.4
China,CHN,2014,Income share held by highest 10%,SI.DST.10TH.10,29.7
China,CHN,2013,Income share held by highest 10%,SI.DST.10TH.10,30.3
China,CHN,2012,Income share held by highest 10%,SI.DST.10TH.10,31.5
China,CHN,2011,Income share held by highest 10%,SI.DST.10TH.10,31.8
China,CHN,2010,Income share held by highest 10%,SI.DST.10TH.10,32.6
China,CHN,2008,Income share held by highest 10%,SI.DST.10TH.10,32
China,CHN,2005,Income share held by highest 10%,SI.DST.10TH.10,30.9
China,CHN,2002,Income share held by highest 10%,SI.DST.10TH.10,31.4
China,CHN,1999,Income share held by highest 10%,SI.DST.10TH.10,29.4
China,CHN,1996,Income share held by highest 10%,SI.DST.10TH.10,27.3
China,CHN,1993,Income share held by highest 10%,SI.DST.10TH.10,26.6
China,CHN,1990,Income share held by highest 10%,SI.DST.10TH.10,25.8
China,CHN,2019,Income share held by lowest 10%,SI.DST.FRST.10,2.8
China,CHN,2018,Income share held by lowest 10%,SI.DST.FRST.10,2.7
China,CHN,2017,Income share held by lowest 10%,SI.DST.FRST.10,2.6
China,CHN,2016,Income share held by lowest 10%,SI.DST.FRST.10,2.7
China,CHN,2015,Income share held by lowest 10%,SI.DST.FRST.10,2.6
China,CHN,2014,Income share held by lowest 10%,SI.DST.FRST.10,2.5
China,CHN,2013,Income share held by lowest 10%,SI.DST.FRST.10,2.5
China,CHN,2012,Income share held by lowest 10%,SI.DST.FRST.10,2.1
China,CHN,2011,Income share held by lowest 10%,SI.DST.FRST.10,2.1
China,CHN,2010,Income share held by lowest 10%,SI.DST.FRST.10,2
China,CHN,2008,Income share held by lowest 10%,SI.DST.FRST.10,2.1
China,CHN,2005,Income share held by lowest 10%,SI.DST.FRST.10,2.4
China,CHN,2002,Income share held by lowest 10%,SI.DST.FRST.10,2.3
China,CHN,1999,Income share held by lowest 10%,SI.DST.FRST.10,2.7
China,CHN,1996,Income share held by lowest 10%,SI.DST.FRST.10,3.1
China,CHN,1993,Income share held by lowest 10%,SI.DST.FRST.10,3.3
China,CHN,1990,Income share held by lowest 10%,SI.DST.FRST.10,3.5
China,CHN,2019,Income share held by lowest 20%,SI.DST.FRST.20,6.7
China,CHN,2018,Income share held by lowest 20%,SI.DST.FRST.20,6.5
China,CHN,2017,Income share held by lowest 20%,SI.DST.FRST.20,6.4
China,CHN,2016,Income share held by lowest 20%,SI.DST.FRST.20,6.5
China,CHN,2015,Income share held by lowest 20%,SI.DST.FRST.20,6.4
China,CHN,2014,Income share held by lowest 20%,SI.DST.FRST.20,6.2
China,CHN,2013,Income share held by lowest 20%,SI.DST.FRST.20,6.2
China,CHN,2012,Income share held by lowest 20%,SI.DST.FRST.20,5.3
China,CHN,2011,Income share held by lowest 20%,SI.DST.FRST.20,5.4
China,CHN,2010,Income share held by lowest 20%,SI.DST.FRST.20,5.1
China,CHN,2008,Income share held by lowest 20%,SI.DST.FRST.20,5.2
China,CHN,2005,Income share held by lowest 20%,SI.DST.FRST.20,5.9
China,CHN,2002,Income share held by lowest 20%,SI.DST.FRST.20,5.7
China,CHN,1999,Income share held by lowest 20%,SI.DST.FRST.20,6.5
China,CHN,1996,Income share held by lowest 20%,SI.DST.FRST.20,7.4
China,CHN,1993,Income share held by lowest 20%,SI.DST.FRST.20,7.9
China,CHN,1990,Income share held by lowest 20%,SI.DST.FRST.20,8.3
China,CHN,2019,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.1
China,CHN,2018,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.4
China,CHN,2017,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.7
China,CHN,2016,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.8
China,CHN,2015,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,1.2
China,CHN,2014,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2.1
China,CHN,2013,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,2.9
China,CHN,2012,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,8.5
China,CHN,2011,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,10.2
China,CHN,2010,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,13.9
China,CHN,2008,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,18
China,CHN,2005,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,22.1
China,CHN,2002,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,36.5
China,CHN,1999,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,46
China,CHN,1996,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,48.1
China,CHN,1993,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,62.7
China,CHN,1990,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,72
China,CHN,2019,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0
China,CHN,2018,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.1
China,CHN,2017,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.1
China,CHN,2016,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.2
China,CHN,2015,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.2
China,CHN,2014,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.4
China,CHN,2013,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,0.5
China,CHN,2012,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,2
China,CHN,2011,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,2.5
China,CHN,2010,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,3.6
China,CHN,2008,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,5.1
China,CHN,2005,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,6.2
China,CHN,2002,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,12.4
China,CHN,1999,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,15.9
China,CHN,1996,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,15.9
China,CHN,1993,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,24.1
