Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Hungary,HUN,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.6661611268941
Hungary,HUN,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.3075191763456
Hungary,HUN,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.9537234369017
Hungary,HUN,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.8870699475491
Hungary,HUN,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.3785054105361
Hungary,HUN,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,32.1860450400531
Hungary,HUN,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,32.3775113090092
Hungary,HUN,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.5898732633399
Hungary,HUN,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.0033676095004
Hungary,HUN,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,29.6598172280739
Hungary,HUN,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.3942334415334
Hungary,HUN,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,28.45084131676
Hungary,HUN,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.0012074165309
Hungary,HUN,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,27.4324375377783
Hungary,HUN,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.9251765936594
Hungary,HUN,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.2545780961495
Hungary,HUN,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,22.8665540136694
Hungary,HUN,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.982342496482
Hungary,HUN,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.5452083559263
Hungary,HUN,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.610672343014
Hungary,HUN,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,23.6690676158272
Hungary,HUN,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.6610346433219
Hungary,HUN,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.1373281826512
Hungary,HUN,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.5900076712992
Hungary,HUN,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.0638856484124
Hungary,HUN,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.8201590725649
Hungary,HUN,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.1711647995502
Hungary,HUN,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,24.2666652681066
