ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
NGA,486934,Women first married by exact age 15,28.4,1,NG,Nigeria,1990,NG1990DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,1990,DHS,5493,5421,,,
NGA,486935,Women first married by exact age 18,57.7,1,NG,Nigeria,1990,NG1990DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,1990,DHS,5493,5421,,,
NGA,342398,Women with secondary or higher education,18.9,1,NG,Nigeria,1990,NG1990DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,1990,DHS,8781,8781,,,
NGA,595898,Women first married by exact age 15,34.6,1,NG,Nigeria,2003,NG2003DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,2003,DHS,4410,4407,,,
NGA,595899,Women first married by exact age 18,59.1,1,NG,Nigeria,2003,NG2003DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,2003,DHS,4410,4407,,,
NGA,231709,Men first married by exact age 15,1.8,1,NG,Nigeria,2003,NG2003DHS,MA_MBAG_M_B15,41604100,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGMB15,,2003,DHS,1214,1192,,,
NGA,231710,Men first married by exact age 18,7.9,1,NG,Nigeria,2003,NG2003DHS,MA_MBAG_M_B18,41604110,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGMB18,,2003,DHS,1214,1192,,,
NGA,47047,Final say in all of the decisions [Women],13.9,1,NG,Nigeria,2003,NG2003DHS,WE_DMAK_W_3DC,176403040,I,1000,0,Total,Total,0,,1,1,WEDMAKW3DC,,2003,DHS,5336,5157,,,
NGA,474680,Wife beating justified for at least one specific reason [Women],64.2,1,NG,Nigeria,2003,NG2003DHS,WE_AWBT_W_AGR,176433060,I,1000,0,Total,Total,0,,1,1,WEAWBTWAGR,,2003,DHS,7620,7620,,,
NGA,314711,Wife beating justified for at least one specific reason [Men],43.3,1,NG,Nigeria,2003,NG2003DHS,WE_AWBT_M_AGR,176434060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,WEAWBTMAGR,,2003,DHS,2093,2086,,,
NGA,399806,Women circumcised (FGC),19,1,NG,Nigeria,2003,NG2003DHS,FG_PFCC_W_WCC,207503010,I,1000,0,Total,Total,0,,1,1,FGPFCCWWCC,,2003,DHS,7620,7620,,,
NGA,377898,Women with secondary or higher education,37,1,NG,Nigeria,2003,NG2003DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2003,DHS,7620,7620,,,
NGA,572149,Men with secondary or higher education,56.8,1,NG,Nigeria,2003,NG2003DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,2003,DHS,2093,2086,,,
NGA,47037,Married women employed in the last 12 months,66.5,1,NG,Nigeria,2003,NG2003DHS,EM_EMPM_W_EMP,246113010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EMEMPMWEMP,,2003,DHS,5336,5157,,,
NGA,47011,Married men employed in the last 12 months,96.6,1,NG,Nigeria,2003,NG2003DHS,EM_EMPM_M_EMP,246114010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EMEMPMMEMP,,2003,DHS,1006,950,,,
NGA,598651,Women first married by exact age 15,23.5,1,NG,Nigeria,2008,NG2008DHS,MA_MBAG_W_B15,41603010,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB15,,2008,DHS,20759,20691,,,
NGA,598652,Women first married by exact age 18,48.1,1,NG,Nigeria,2008,NG2008DHS,MA_MBAG_W_B18,41603020,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGWB18,,2008,DHS,20759,20691,,,
NGA,112921,Men first married by exact age 15,0.1,1,NG,Nigeria,2008,NG2008DHS,MA_MBAG_M_B15,41604100,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGMB15,,2008,DHS,8898,8868,,,
NGA,112922,Men first married by exact age 18,5.4,1,NG,Nigeria,2008,NG2008DHS,MA_MBAG_M_B18,41604110,I,12001,12001,Total 25-49,Total 25-49,0,,1,1,MAMBAGMB18,,2008,DHS,8898,8868,,,
NGA,580450,Final say in all of the decisions [Women],32.1,1,NG,Nigeria,2008,NG2008DHS,WE_DMAK_W_3DC,176403040,I,1000,0,Total,Total,0,,1,1,WEDMAKW3DC,,2008,DHS,23578,23954,,,
NGA,615000,Wife beating justified for at least one specific reason [Women],43,1,NG,Nigeria,2008,NG2008DHS,WE_AWBT_W_AGR,176433060,I,1000,0,Total,Total,0,,1,1,WEAWBTWAGR,,2008,DHS,33385,33385,,,
NGA,414689,Wife beating justified for at least one specific reason [Men],30.1,1,NG,Nigeria,2008,NG2008DHS,WE_AWBT_M_AGR,176434060,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,WEAWBTMAGR,,2008,DHS,13808,13838,,,
