Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
China,CHN,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,32989.8003106
China,CHN,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,27013.70395289
China,CHN,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,21583.90938779
China,CHN,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.3567981485348
China,CHN,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.292164228480093
China,CHN,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.233438785176161
China,CHN,2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,522345.1853048
China,CHN,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,436715.38991649
China,CHN,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,362455.80240613
China,CHN,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9895172119141
China,CHN,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9543914794922
China,CHN,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8864288330078
China,CHN,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8058013916016
China,CHN,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7507476806641
China,CHN,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7210388183594
China,CHN,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7100296020508
China,CHN,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7108001708984
China,CHN,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.716423034668
China,CHN,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
China,CHN,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,47.67263439
China,CHN,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,49.27568382
China,CHN,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,49.92778443
China,CHN,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,51.58657201
China,CHN,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,56.20412426
China,CHN,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,60.26956062
China,CHN,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,63.28657095
China,CHN,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,58.90513577
China,CHN,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,58.40555752
China,CHN,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,53.28667651
China,CHN,2005,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,51.55204637
China,CHN,2000,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,50.76470176
China,CHN,1995,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,49.09456138
China,CHN,1990,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,48.88419264
China,CHN,2017,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9982944622564
China,CHN,2016,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9982986494764
China,CHN,2015,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9999551645374
China,CHN,2014,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9999584481301
China,CHN,2013,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9999905399797
China,CHN,2012,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.999992994816
China,CHN,2011,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9999975448802
China,CHN,2010,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9999974253327
China,CHN,2005,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.999996861798
China,CHN,2000,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.999996120588
China,CHN,1995,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
China,CHN,1990,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
China,CHN,2020,Population density (people per sq. km of land area),EN.POP.DNST,149.723552558882
China,CHN,2019,Population density (people per sq. km of land area),EN.POP.DNST,149.367573167744
China,CHN,2018,Population density (people per sq. km of land area),EN.POP.DNST,148.838644027707
China,CHN,2017,Population density (people per sq. km of land area),EN.POP.DNST,148.144225437905
China,CHN,2016,Population density (people per sq. km of land area),EN.POP.DNST,147.25030254277
China,CHN,2015,Population density (people per sq. km of land area),EN.POP.DNST,146.408882513774
China,CHN,2014,Population density (people per sq. km of land area),EN.POP.DNST,145.5600507997
China,CHN,2013,Population density (people per sq. km of land area),EN.POP.DNST,144.645432953933
China,CHN,2012,Population density (people per sq. km of land area),EN.POP.DNST,143.685196418276
China,CHN,2011,Population density (people per sq. km of land area),EN.POP.DNST,142.713812806516
China,CHN,2010,Population density (people per sq. km of land area),EN.POP.DNST,141.936072304132
China,CHN,2009,Population density (people per sq. km of land area),EN.POP.DNST,141.252233956931
China,CHN,2008,Population density (people per sq. km of land area),EN.POP.DNST,140.551423387482
China,CHN,2007,Population density (people per sq. km of land area),EN.POP.DNST,139.83309813575
China,CHN,2006,Population density (people per sq. km of land area),EN.POP.DNST,139.104692987575
China,CHN,2005,Population density (people per sq. km of land area),EN.POP.DNST,138.330135459593
China,CHN,2004,Population density (people per sq. km of land area),EN.POP.DNST,137.51895882527
China,CHN,2003,Population density (people per sq. km of land area),EN.POP.DNST,136.70462094405
China,CHN,2002,Population density (people per sq. km of land area),EN.POP.DNST,135.855780324981
China,CHN,2001,Population density (people per sq. km of land area),EN.POP.DNST,134.948589664422
China,CHN,2000,Population density (people per sq. km of land area),EN.POP.DNST,133.971903614969
China,CHN,1999,Population density (people per sq. km of land area),EN.POP.DNST,132.920270225821
China,CHN,1998,Population density (people per sq. km of land area),EN.POP.DNST,131.774346372461
China,CHN,1997,Population density (people per sq. km of land area),EN.POP.DNST,130.515952214975
China,CHN,1996,Population density (people per sq. km of land area),EN.POP.DNST,129.186998857259
China,CHN,1995,Population density (people per sq. km of land area),EN.POP.DNST,127.839872165964
China,CHN,1994,Population density (people per sq. km of land area),EN.POP.DNST,126.459069654428
China,CHN,1993,Population density (people per sq. km of land area),EN.POP.DNST,125.03779973198
China,CHN,1992,Population density (people per sq. km of land area),EN.POP.DNST,123.60857197122
China,CHN,1991,Population density (people per sq. km of land area),EN.POP.DNST,122.102948962669
China,CHN,1990,Population density (people per sq. km of land area),EN.POP.DNST,120.448249116415
China,CHN,1989,Population density (people per sq. km of land area),EN.POP.DNST,118.693811029988
China,CHN,1988,Population density (people per sq. km of land area),EN.POP.DNST,116.887912255814
China,CHN,1987,Population density (people per sq. km of land area),EN.POP.DNST,115.021003387917
China,CHN,1986,Population density (people per sq. km of land area),EN.POP.DNST,113.191231098808
China,CHN,1985,Population density (people per sq. km of land area),EN.POP.DNST,111.520085053376
China,CHN,1984,Population density (people per sq. km of land area),EN.POP.DNST,110.011809432054
China,CHN,1983,Population density (people per sq. km of land area),EN.POP.DNST,108.577806968308
China,CHN,1982,Population density (people per sq. km of land area),EN.POP.DNST,107.020192749454
China,CHN,1981,Population density (people per sq. km of land area),EN.POP.DNST,105.455569844281
China,CHN,1980,Population density (people per sq. km of land area),EN.POP.DNST,104.113349206551
China,CHN,1979,Population density (people per sq. km of land area),EN.POP.DNST,102.815692416082
China,CHN,1978,Population density (people per sq. km of land area),EN.POP.DNST,101.453311942687
China,CHN,1977,Population density (people per sq. km of land area),EN.POP.DNST,100.104725041062
China,CHN,1976,Population density (people per sq. km of land area),EN.POP.DNST,98.7496670978038
China,CHN,1975,Population density (people per sq. km of land area),EN.POP.DNST,97.233436855748
China,CHN,1974,Population density (people per sq. km of land area),EN.POP.DNST,95.5308922299914
China,CHN,1973,Population density (people per sq. km of land area),EN.POP.DNST,93.5775144036415
China,CHN,1972,Population density (people per sq. km of land area),EN.POP.DNST,91.4649803176759
China,CHN,1971,Population density (people per sq. km of land area),EN.POP.DNST,89.244750496037
China,CHN,1970,Population density (people per sq. km of land area),EN.POP.DNST,86.8266363916093
China,CHN,1969,Population density (people per sq. km of land area),EN.POP.DNST,84.4615743737201
China,CHN,1968,Population density (people per sq. km of land area),EN.POP.DNST,82.1787430899657
China,CHN,1967,Population density (people per sq. km of land area),EN.POP.DNST,80.0609037953463
China,CHN,1966,Population density (people per sq. km of land area),EN.POP.DNST,78.0290088809193
China,CHN,1965,Population density (people per sq. km of land area),EN.POP.DNST,75.8841130221652
China,CHN,1964,Population density (people per sq. km of land area),EN.POP.DNST,74.0983797892771
China,CHN,1963,Population density (people per sq. km of land area),EN.POP.DNST,72.3985909365815
China,CHN,1962,Population density (people per sq. km of land area),EN.POP.DNST,70.6409753095589
China,CHN,1961,Population density (people per sq. km of land area),EN.POP.DNST,70.0637686080194
China,CHN,2015,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,4.35330882386637
China,CHN,2000,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,3.41552598974814
China,CHN,1990,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,2.81104414001896
China,CHN,2022,Population in largest city,EN.URB.LCTY,28516903
China,CHN,2021,Population in largest city,EN.URB.LCTY,27795702
China,CHN,2020,Population in largest city,EN.URB.LCTY,27058479
China,CHN,2019,Population in largest city,EN.URB.LCTY,26317104
China,CHN,2018,Population in largest city,EN.URB.LCTY,25582138
China,CHN,2017,Population in largest city,EN.URB.LCTY,24862075
China,CHN,2016,Population in largest city,EN.URB.LCTY,24163230
China,CHN,2015,Population in largest city,EN.URB.LCTY,23482181
China,CHN,2014,Population in largest city,EN.URB.LCTY,22821226
China,CHN,2013,Population in largest city,EN.URB.LCTY,22178874
China,CHN,2012,Population in largest city,EN.URB.LCTY,21555451
China,CHN,2011,Population in largest city,EN.URB.LCTY,20947904
China,CHN,2010,Population in largest city,EN.URB.LCTY,20314309
China,CHN,2009,Population in largest city,EN.URB.LCTY,19616251
China,CHN,2008,Population in largest city,EN.URB.LCTY,18943092
China,CHN,2007,Population in largest city,EN.URB.LCTY,18291272
China,CHN,2006,Population in largest city,EN.URB.LCTY,17662731
China,CHN,2005,Population in largest city,EN.URB.LCTY,17055788
China,CHN,2004,Population in largest city,EN.URB.LCTY,16470495
China,CHN,2003,Population in largest city,EN.URB.LCTY,15903755
China,CHN,2002,Population in largest city,EN.URB.LCTY,15357256
China,CHN,2001,Population in largest city,EN.URB.LCTY,14829537
China,CHN,2000,Population in largest city,EN.URB.LCTY,14246541
China,CHN,1999,Population in largest city,EN.URB.LCTY,13545316
China,CHN,1998,Population in largest city,EN.URB.LCTY,12879499
China,CHN,1997,Population in largest city,EN.URB.LCTY,12246411
China,CHN,1996,Population in largest city,EN.URB.LCTY,11645251
China,CHN,1995,Population in largest city,EN.URB.LCTY,11072063
China,CHN,1994,Population in largest city,EN.URB.LCTY,10527819
China,CHN,1993,Population in largest city,EN.URB.LCTY,10010327
China,CHN,1992,Population in largest city,EN.URB.LCTY,9518933
China,CHN,1991,Population in largest city,EN.URB.LCTY,9050404
China,CHN,1990,Population in largest city,EN.URB.LCTY,8605812
China,CHN,1989,Population in largest city,EN.URB.LCTY,8280178
China,CHN,1988,Population in largest city,EN.URB.LCTY,7967288
China,CHN,1987,Population in largest city,EN.URB.LCTY,7665406
China,CHN,1986,Population in largest city,EN.URB.LCTY,7375356
China,CHN,1985,Population in largest city,EN.URB.LCTY,7096280
China,CHN,1984,Population in largest city,EN.URB.LCTY,6828127
China,CHN,1983,Population in largest city,EN.URB.LCTY,6569409
China,CHN,1982,Population in largest city,EN.URB.LCTY,6320829
China,CHN,1981,Population in largest city,EN.URB.LCTY,6121076
China,CHN,1980,Population in largest city,EN.URB.LCTY,5927898
China,CHN,1979,Population in largest city,EN.URB.LCTY,5740309
China,CHN,1978,Population in largest city,EN.URB.LCTY,5558902
China,CHN,1977,Population in largest city,EN.URB.LCTY,5507683
China,CHN,1976,Population in largest city,EN.URB.LCTY,5582296
China,CHN,1975,Population in largest city,EN.URB.LCTY,5658129
China,CHN,1974,Population in largest city,EN.URB.LCTY,5734886
China,CHN,1973,Population in largest city,EN.URB.LCTY,5812684
China,CHN,1972,Population in largest city,EN.URB.LCTY,5891428
China,CHN,1971,Population in largest city,EN.URB.LCTY,5971461
China,CHN,1970,Population in largest city,EN.URB.LCTY,6052468
China,CHN,1969,Population in largest city,EN.URB.LCTY,6134575
China,CHN,1968,Population in largest city,EN.URB.LCTY,6217680
China,CHN,1967,Population in largest city,EN.URB.LCTY,6302144
China,CHN,1966,Population in largest city,EN.URB.LCTY,6387638
China,CHN,1965,Population in largest city,EN.URB.LCTY,6428131
China,CHN,1964,Population in largest city,EN.URB.LCTY,6423017
China,CHN,1963,Population in largest city,EN.URB.LCTY,6530995
China,CHN,1962,Population in largest city,EN.URB.LCTY,6640636
China,CHN,1961,Population in largest city,EN.URB.LCTY,6752117
China,CHN,1960,Population in largest city,EN.URB.LCTY,6865312
China,CHN,2022,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,3.17709317056561
China,CHN,2021,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,3.1482473313858
China,CHN,2020,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,3.121614095615
